REGION,PROVINCIA,CUT,NOMBRE,PERSONAS,URBANO,RURAL,CLASIFICACION
VALPARAISO,SAN ANTONIO,5602,ALGARROBO,16076,12681,3395,Mixta
METROPOLITANA DE SANTIAGO,MELIPILLA,13502,ALHUE,7768,3356,4412,Rural
BIOBIO,BIOBIO,8314,ALTO BIOBIO,6016,0,6016,Rural
ATACAMA,HUASCO,3302,ALTO DEL CARMEN,4788,0,4788,Rural
TARAPACA,IQUIQUE,1107,ALTO HOSPICIO,142086,138820,3266,Urbana
LOS LAGOS,CHILOE,10202,ANCUD,40949,29684,11265,Mixta
COQUIMBO,ELQUI,4103,ANDACOLLO,11566,10481,1085,Rural
LA ARAUCANIA,MALLECO,9201,ANGOL,53022,48691,4331,Urbana
MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA CHILENA,12202,ANTARTICA,138,0,138,Rural
ANTOFAGASTA,ANTOFAGASTA,2101,ANTOFAGASTA,401096,392485,8611,Urbana
BIOBIO,BIOBIO,8302,ANTUCO,4373,2230,2143,Rural
BIOBIO,ARAUCO,8202,ARAUCO,37163,28003,9160,Rural
ARICA Y PARINACOTA,ARICA,15101,ARICA,241653,223875,17778,Urbana
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,11201,AYSEN,23170,19639,3531,Rural
METROPOLITANA DE SANTIAGO,MAIPO,13402,BUIN,116969,100379,16590,Urbana
ÑUBLE,DIGUILLIN,16102,BULNES,23863,14979,8884,Rural
VALPARAISO,PETORCA,5402,CABILDO,20015,12567,7448,Mixta
MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA CHILENA,12201,CABO DE HORNOS,1750,1590,160,Rural
BIOBIO,BIOBIO,8303,CABRERO,31256,23589,7667,Mixta
ANTOFAGASTA,EL LOA,2201,CALAMA,166334,159064,7270,Urbana
LOS LAGOS,LLANQUIHUE,10102,CALBUCO,36474,17168,19306,Mixta
ATACAMA,COPIAPO,3102,CALDERA,18805,16796,2009,Rural
VALPARAISO,QUILLOTA,5502,CALERA,50631,48742,1889,Urbana
METROPOLITANA DE SANTIAGO,MAIPO,13403,CALERA DE TANGO,25491,11590,13901,Mixta
VALPARAISO,LOS ANDES,5302,CALLE LARGA,16597,11963,4634,Mixta
ARICA Y PARINACOTA,ARICA,15102,CAMARONES,861,0,861,Rural
TARAPACA,DEL TAMARUGAL,1402,CAMIÑA,1335,0,1335,Rural
COQUIMBO,CHOAPA,4202,CANELA,9639,2078,7561,Rural
BIOBIO,ARAUCO,8203,CAÑETE,34640,19552,15088,Rural
LA ARAUCANIA,CAUTIN,9102,CARAHUE,24957,13482,11475,Rural
VALPARAISO,SAN ANTONIO,5603,CARTAGENA,24599,22552,2047,Mixta
VALPARAISO,VALPARAISO,5102,CASABLANCA,29876,20018,9858,Mixta
LOS LAGOS,CHILOE,10201,CASTRO,46997,36523,10474,Mixta
VALPARAISO,SAN FELIPE DE ACONCAGUA,5702,CATEMU,13760,7680,6080,Rural
MAULE,CAUQUENES,7201,CAUQUENES,42798,35044,7754,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13102,CERRILLOS,85041,85041,0,Urbana
METROPOLITANA DE SANTIAGO,SANTIAGO,13103,CERRO NAVIA,127250,127250,0,Urbana
LOS LAGOS,PALENA,10401,CHAITEN,4025,1304,2721,Rural
MAULE,CAUQUENES,7202,CHANCO,9446,4148,5298,Rural
ATACAMA,CHAÑARAL,3201,CHAÑARAL,12345,11197,1148,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,6302,CHEPICA,15668,9009,6659,Mixta
BIOBIO,CONCEPCION,8103,CHIGUAYANTE,85822,85747,75,Urbana
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GENERAL CARRERA,11401,CHILE CHICO,4905,3188,1717,Rural
ÑUBLE,DIGUILLIN,16101,CHILLAN,190382,173798,16584,Urbana
ÑUBLE,DIGUILLIN,16103,CHILLAN VIEJO,32688,28988,3700,Mixta
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,6303,CHIMBARONGO,37258,21562,15696,Rural
LA ARAUCANIA,CAUTIN,9121,CHOLCHOL,13167,4940,8227,Rural
LOS LAGOS,CHILOE,10203,CHONCHI,16078,6183,9895,Rural
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,11202,CISNES,5137,3243,1894,Rural
ÑUBLE,ITATA,16202,COBQUECURA,5495,1593,3902,Rural
LOS LAGOS,LLANQUIHUE,10103,COCHAMO,4199,0,4199,Rural
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CAPITAN PRAT,11301,COCHRANE,3458,2815,643,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,6102,CODEGUA,13955,7542,6413,Mixta
ÑUBLE,ITATA,16203,COELEMU,15895,11364,4531,Rural
ÑUBLE,PUNILLA,16302,COIHUECO,29766,10074,19692,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,6103,COINCO,7916,3683,4233,Rural
MAULE,LINARES,7402,COLBUN,22637,9868,12769,Rural
TARAPACA,DEL TAMARUGAL,1403,COLCHANE,790,0,790,Rural
METROPOLITANA DE SANTIAGO,CHACABUCO,13301,COLINA,173293,139882,33411,Urbana
LA ARAUCANIA,MALLECO,9202,COLLIPULLI,24303,18119,6184,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,6104,COLTAUCO,21373,12227,9146,Mixta
COQUIMBO,LIMARI,4302,COMBARBALA,12954,5832,7122,Rural
BIOBIO,CONCEPCION,8101,CONCEPCION,230375,225721,4654,Urbana
METROPOLITANA DE SANTIAGO,SANTIAGO,13104,CONCHALI,121587,121587,0,Urbana
VALPARAISO,VALPARAISO,5103,CONCON,48294,45151,3143,Mixta
MAULE,TALCA,7102,CONSTITUCION,47004,38030,8974,Mixta
BIOBIO,ARAUCO,8204,CONTULMO,5905,2997,2908,Rural
ATACAMA,COPIAPO,3101,COPIAPO,168831,165568,3263,Urbana
COQUIMBO,ELQUI,4102,COQUIMBO,263719,248456,15263,Urbana
BIOBIO,CONCEPCION,8102,CORONEL,123648,120257,3391,Urbana
LOS RIOS,VALDIVIA,14102,CORRAL,5501,3612,1889,Rural
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,11101,COYHAIQUE,57823,49972,7851,Urbana
LA ARAUCANIA,CAUTIN,9103,CUNCO,19177,9680,9497,Rural
LA ARAUCANIA,MALLECO,9203,CURACAUTIN,18536,13666,4870,Mixta
METROPOLITANA DE SANTIAGO,MELIPILLA,13503,CURACAVI,35165,21976,13189,Mixta
LOS LAGOS,CHILOE,10204,CURACO DE VELEZ,3662,1058,2604,Rural
BIOBIO,ARAUCO,8205,CURANILAHUE,31119,29082,2037,Mixta
LA ARAUCANIA,CAUTIN,9104,CURARREHUE,7733,2350,5383,Rural
MAULE,TALCA,7103,CUREPTO,9519,3414,6105,Rural
MAULE,CURICO,7301,CURICO,159968,142198,17770,Urbana
LOS LAGOS,CHILOE,10205,DALCAHUE,14894,7792,7102,Rural
ATACAMA,CHAÑARAL,3202,DIEGO DE ALMAGRO,11397,10849,548,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,6105,DOÑIHUE,21925,17240,4685,Mixta
METROPOLITANA DE SANTIAGO,SANTIAGO,13105,EL BOSQUE,155257,155257,0,Urbana
ÑUBLE,DIGUILLIN,16104,EL CARMEN,13186,5322,7864,Rural
METROPOLITANA DE SANTIAGO,TALAGANTE,13602,EL MONTE,37497,31361,6136,Mixta
VALPARAISO,SAN ANTONIO,5604,EL QUISCO,18971,17677,1294,Mixta
VALPARAISO,SAN ANTONIO,5605,EL TABO,16260,15439,821,Mixta
MAULE,TALCA,7104,EMPEDRADO,3990,2898,1092,Rural
LA ARAUCANIA,MALLECO,9204,ERCILLA,7730,3639,4091,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13106,ESTACION CENTRAL,181049,181049,0,Urbana
BIOBIO,CONCEPCION,8104,FLORIDA,12958,5562,7396,Rural
LA ARAUCANIA,CAUTIN,9105,FREIRE,26164,8385,17779,Rural
ATACAMA,HUASCO,3303,FREIRINA,7577,4938,2639,Rural
LOS LAGOS,LLANQUIHUE,10104,FRESIA,12320,7366,4954,Rural
LOS LAGOS,LLANQUIHUE,10105,FRUTILLAR,22554,15852,6702,Rural
LOS LAGOS,PALENA,10402,FUTALEUFU,3062,2169,893,Rural
LOS RIOS,RANCO,14202,FUTRONO,15635,8724,6911,Rural
LA ARAUCANIA,CAUTIN,9106,GALVARINO,12710,4396,8314,Rural
ARICA Y PARINACOTA,PARINACOTA,15202,GENERAL LAGOS,508,0,508,Rural
LA ARAUCANIA,CAUTIN,9107,GORBEA,14148,9973,4175,Rural
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,6106,GRANEROS,35938,32052,3886,Mixta
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,11203,GUAITECAS,1598,1478,120,Rural
VALPARAISO,QUILLOTA,5503,HIJUELAS,19286,12582,6704,Mixta
LOS LAGOS,PALENA,10403,HUALAIHUE,9480,3859,5621,Rural
MAULE,CURICO,7302,HUALAÑE,10775,6408,4367,Rural
BIOBIO,CONCEPCION,8112,HUALPEN,87731,86978,753,Urbana
BIOBIO,CONCEPCION,8105,HUALQUI,25795,22144,3651,Mixta
TARAPACA,DEL TAMARUGAL,1404,HUARA,2858,1161,1697,Rural
ATACAMA,HUASCO,3304,HUASCO,9369,8218,1151,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13107,HUECHURABA,101808,101706,102,Urbana
COQUIMBO,CHOAPA,4201,ILLAPEL,32009,21844,10165,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13108,INDEPENDENCIA,116943,116943,0,Urbana
TARAPACA,IQUIQUE,1101,IQUIQUE,199587,197082,2505,Urbana
METROPOLITANA DE SANTIAGO,TALAGANTE,13603,ISLA DE MAIPO,39274,29213,10061,Mixta
VALPARAISO,ISLA DE PASCUA,5201,ISLA DE PASCUA,4800,4535,265,Rural
VALPARAISO,VALPARAISO,5104,JUAN FERNANDEZ,904,0,904,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13109,LA CISTERNA,103157,103157,0,Urbana
VALPARAISO,QUILLOTA,5504,LA CRUZ,24939,21953,2986,Mixta
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,6202,LA ESTRELLA,4609,1717,2892,Rural
METROPOLITANA DE SANTIAGO,SANTIAGO,13110,LA FLORIDA,374836,374716,120,Urbana
METROPOLITANA DE SANTIAGO,SANTIAGO,13111,LA GRANJA,112022,112022,0,Urbana
COQUIMBO,ELQUI,4104,LA HIGUERA,4335,1322,3013,Rural
VALPARAISO,PETORCA,5401,LA LIGUA,39270,28861,10409,Mixta
METROPOLITANA DE SANTIAGO,SANTIAGO,13112,LA PINTANA,175421,175421,0,Urbana
METROPOLITANA DE SANTIAGO,SANTIAGO,13113,LA REINA,89870,89870,0,Urbana
COQUIMBO,ELQUI,4101,LA SERENA,250141,227041,23100,Urbana
LOS RIOS,RANCO,14201,LA UNION,38907,27273,11634,Rural
LOS RIOS,RANCO,14203,LAGO RANCO,10527,2414,8113,Rural
AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,11102,LAGO VERDE,779,0,779,Rural
MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,12102,LAGUNA BLANCA,269,0,269,Rural
BIOBIO,BIOBIO,8304,LAJA,23706,17176,6530,Mixta
METROPOLITANA DE SANTIAGO,CHACABUCO,13302,LAMPA,145160,114896,30264,Urbana
LOS RIOS,VALDIVIA,14103,LANCO,16876,11693,5183,Mixta
