REGION,COMUNA,JARA,KAST, BLANCO ,NULOS ,VOTACION,POBLACION_24,MESAS,INSCRITOS
DE VALPARAISO,ALGARROBO,5689,9055,190,873,15807,16076,46,17787
METROPOLITANA DE SANTIAGO,ALHUE,2232,3216,73,301,5822,7768,17,6704
DEL BIOBIO,ALTO BIOBIO,1376,2915,131,348,4770,6016,17,5679
DE ATACAMA,ALTO DEL CARMEN,1420,2168,62,456,4106,4788,14,4863
DE TARAPACA,ALTO HOSPICIO,19046,35076,761,5604,60487,142086,188,72210
DE LOS LAGOS,ANCUD,10731,19440,496,2133,32800,40949,100,38691
DE COQUIMBO,ANDACOLLO,4997,4041,179,711,9928,11566,29,11278
DE LA ARAUCANIA,ANGOL,9533,29217,327,2157,41234,53022,123,47468
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,9,17,0,2,28,53022,1,195
DE ANTOFAGASTA,ANTOFAGASTA,103038,125238,3884,22130,254290,401096,779,307083
DEL BIOBIO,ANTUCO,1173,2369,40,250,3832,4373,12,4665
DEL BIOBIO,ARAUCO,8612,18506,366,1834,29318,37163,86,32268
DE ARICA Y PARINACOTA,ARICA,52419,87678,1850,11295,153242,241653,499,188577
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,6784,9118,245,1138,17285,23170,62,22894
METROPOLITANA DE SANTIAGO,BUIN,29631,46337,913,4296,81177,116969,228,88724
DE ÑUBLE,BULNES,5020,12840,207,1000,19067,23863,55,21449
DE VALPARAISO,CABILDO,7185,7806,215,1030,16236,20015,47,18088
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS,297,741,9,29,1076,1750,5,1682
DEL BIOBIO,CABRERO,5781,17124,239,1644,24788,31256,71,27253
DE ANTOFAGASTA,CALAMA,34442,61291,1222,10400,107355,166334,340,134149
DE LOS LAGOS,CALBUCO,7519,18299,414,1684,27916,36474,89,33733
DE ATACAMA,CALDERA,6503,6402,178,1030,14113,18805,42,16526
DE VALPARAISO,CALERA,17488,18554,572,2921,39535,50631,117,45291
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,7002,12463,210,993,20668,25491,58,22813
DE VALPARAISO,CALLE LARGA,4336,6132,146,749,11363,16597,33,12498
DE ARICA Y PARINACOTA,CAMARONES,444,896,12,99,1451,861,6,2063
DE TARAPACA,CAMIÑA,234,1339,8,76,1657,1335,6,2390
DE COQUIMBO,CANELA,3947,3503,155,450,8055,9639,25,9461
DEL BIOBIO,CAÑETE,7201,17966,275,1338,26780,34640,78,30450
DE LA ARAUCANIA,CARAHUE,5669,12964,205,878,19716,24957,63,24023
DE VALPARAISO,CARTAGENA,8103,9797,187,1233,19320,24599,57,22114
DE VALPARAISO,CASABLANCA,8239,12776,252,1430,22697,29876,66,25153
DE LOS LAGOS,CASTRO,13427,19676,558,2067,35728,46997,112,43321
DE VALPARAISO,CATEMU,4041,6365,158,990,11554,13760,32,12551
DEL MAULE,CAUQUENES,7329,24961,317,1423,34030,42798,102,38309
METROPOLITANA DE SANTIAGO,CERRILLOS,26409,27569,595,2875,57448,85041,171,66020
METROPOLITANA DE SANTIAGO,CERRO NAVIA,45826,42812,1044,5159,94841,127250,279,108479
DE LOS LAGOS,CHAITEN,1030,2136,48,133,3347,4025,15,4792
DEL MAULE,CHANCO,1750,6171,64,278,8263,9446,24,9203
DE ATACAMA,CHAÑARAL,4513,3933,121,816,9383,12345,30,11346
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,3562,8911,165,635,13273,15668,38,14253
DEL BIOBIO,CHIGUAYANTE,25563,32306,781,4629,63279,85822,182,70270
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CHILE CHICO,1604,1880,31,155,3670,4905,18,6284
DE ÑUBLE,CHILLAN,48203,85864,1603,7842,143512,190382,417,161737
DE ÑUBLE,CHILLAN VIEJO,6955,14450,261,1390,23056,32688,65,24981
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,9375,18072,352,1986,29785,37258,82,31991
DE LA ARAUCANIA,CHOLCHOL,3094,6676,109,740,10619,13167,32,12257
DE LOS LAGOS,CHONCHI,4334,6727,217,730,12008,16078,37,14251
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CISNES,1209,2286,50,183,3728,5137,15,4838
DE ÑUBLE,COBQUECURA,1455,3502,60,217,5234,5495,16,5851
DE LOS LAGOS,COCHAMO,829,2591,68,152,3640,4199,14,4654
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COCHRANE,880,1421,38,112,2451,3458,9,3461
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,4205,6311,175,733,11424,13955,32,12229
DE ÑUBLE,COELEMU,3696,9211,132,655,13694,15895,41,15073
DE ÑUBLE,COIHUECO,4379,17207,184,990,22760,29766,66,24580
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,2478,4142,88,393,7101,7916,20,7687
DEL MAULE,COLBUN,5518,11720,203,1096,18537,22637,55,20665
DE TARAPACA,COLCHANE,66,1000,5,27,1098,790,6,2030
METROPOLITANA DE SANTIAGO,COLINA,25854,66795,923,4703,98275,173293,286,111213
DE LA ARAUCANIA,COLLIPULLI,4526,13615,198,1018,19357,24303,59,22259
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,5531,9809,206,1017,16563,21373,47,17851
DE COQUIMBO,COMBARBALA,4494,4882,196,742,10314,12954,33,12338
DEL BIOBIO,CONCEPCION,68434,90836,2273,9727,171270,230375,527,203012
METROPOLITANA DE SANTIAGO,CONCHALI,46205,41603,961,4782,93551,121587,287,110833
DE VALPARAISO,CONCON,14191,25226,697,2030,42144,48294,124,47726
DEL MAULE,CONSTITUCION,11323,22080,504,2550,36457,47004,108,40537
DEL BIOBIO,CONTULMO,1290,3575,48,213,5126,5905,16,6052
DE ATACAMA,COPIAPO,44619,56522,1681,8213,111035,168831,335,129887
DE COQUIMBO,COQUIMBO,71395,80649,2524,12980,167548,263719,497,193715
DEL BIOBIO,CORONEL,30646,46520,1170,6187,84523,123648,248,95341
DE LOS RIOS,CORRAL,1773,2526,54,274,4627,5501,16,5644
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,15063,23084,518,2090,40755,57823,146,54921
DE LA ARAUCANIA,CUNCO,4469,10440,156,788,15853,19177,56,20682
DE LA ARAUCANIA,CURACAUTIN,3739,10347,117,667,14870,18536,56,20945
METROPOLITANA DE SANTIAGO,CURACAVI,10996,14688,381,1510,27575,35165,78,30226
DE LOS LAGOS,CURACO DE VELEZ,966,1935,56,159,3116,3662,10,3750
DEL BIOBIO,CURANILAHUE,8241,15506,326,1880,25953,31119,77,29521
DE LA ARAUCANIA,CURARREHUE,1800,4639,60,342,6841,7733,24,9000
DEL MAULE,CUREPTO,3071,5370,84,485,9010,9519,26,10060
DEL MAULE,CURICO,42007,65839,1338,6987,116171,159968,337,128583
