"","Comuna","Local","Sexo","value"
"1","VILCUN","COLEGIO AMERICA","HOMBRES",1804
"2","VILCUN","COLEGIO AMERICA","MUJERES",989
"3","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","HOMBRES",858
"4","VILCUN","COMPLEJO EDUCACIONAL LA GRANJA","MUJERES",1099
"5","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","HOMBRES",1453
"6","VILCUN","COMPLEJO EDUCACIONAL PADRE NICOLAS","MUJERES",1030
"7","VILCUN","ESCUELA JAPON","HOMBRES",476
"8","VILCUN","ESCUELA JAPON","MUJERES",536
"9","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","HOMBRES",465
"10","VILCUN","ESCUELA PARTICULAR NUMERO 8 VILCUN","MUJERES",2168
