"Candidato","Distrito","Lista","Pacto","Partido","votacion"
"ADEMAR OCTAVIO MUÑOZ RIFO",23,"AW","INDEPENDIENTES UNIDOS","CENTRO UNIDO",510
"ALEJANDRA AILLAPAN HUIRIQUEO",23,"AN","DIGNIDAD AHORA","INDEPENDIENTE PARTIDO HUMANISTA",1768
"ANDREA PARRA SAUTEREL",22,"AH","NUEVO PACTO SOCIAL","PARTIDO POR LA DEMOCRACIA",6982
"ANDREA QUIJON GODOY",23,"AN","DIGNIDAD AHORA","PARTIDO HUMANISTA",758
"ANDRES ALFONSO JOUANNET VALDERRAMA",23,"AH","NUEVO PACTO SOCIAL","INDEPENDIENTE PARTIDO RADICAL DE CHILE",8072
"ANDRES MOLINA MAGOFKE",23,"AA","CHILE PODEMOS +","EVOLUCION POLITICA",11392
"ANTONIO STUARDO PINEDA",23,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO CONSERVADOR CRISTIANO",1178
"ARNOLDO ÑANCULEF HUAIQUINAO",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL",1814
"AUCAN HUILCAMAN PAILLAMA",23,"AN","DIGNIDAD AHORA","INDEPENDIENTE IGUALDAD",6119
"CAMILA ANDREA DELGADO TRONCOSO",23,"AE","PARTIDO DE TRABAJADORES REVOLUCIONARIOS","PARTIDO DE TRABAJADORES REVOLUCIONARIOS",2682
"CESAR ANDRES LEVIO MARTINEZ",23,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",2634
"CESAR AUGUSTO VARGAS ZURITA",23,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO REPUBLICANO DE CHILE",7539
"CLAUDIA ELENA LILLO ECHEVERRIA",23,"AA","CHILE PODEMOS +","INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE",2122
"CONSTANZA GONZALEZ GONZALEZ",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",1989
"CRISTIAN ALIRO MUÑOZ GARRIDO",23,"AW","INDEPENDIENTES UNIDOS","INDEPENDIENTE CENTRO UNIDO",858
"DANIELA NATALY GONZALEZ FARIÑA",22,"AW","INDEPENDIENTES UNIDOS","CENTRO UNIDO",1463
"DANILO JOSE CAROCA SALGADO",23,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO CONSERVADOR CRISTIANO",1192
"DORIAN O'BRYAN GODOY ACUÑA",22,"AY","PARTIDO PROGRESISTA DE CHILE","PARTIDO PROGRESISTA DE CHILE",675
"EDGARDO MARCELO LOVERA RIQUELME",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",1600
"ELENA VARELA LOPEZ",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE PARTIDO COMUNISTA DE CHILE",1499
"ENRIQUE ESTAY CUEVAS",22,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO REPUBLICANO DE CHILE",4413
"ERICKA JUDITH DE LOURDES ÑANCO VASQUEZ",23,"AR","APRUEBO DIGNIDAD","REVOLUCION DEMOCRATICA",9715
"ESTRELLA CONSTANZA MEZA LAVANDERO",22,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO CONSERVADOR CRISTIANO",1774
"EVARISTO RENE CURICAL ÑANCO",22,"AN","DIGNIDAD AHORA","PARTIDO HUMANISTA",2889
"GABRIELA DEL CARMEN ESPAÑA COLLIO",22,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE REVOLUCION DEMOCRATICA",1960
"GERSON RILDO CAYUQUEO RIQUELME",22,"AR","APRUEBO DIGNIDAD","FEDERACION REGIONALISTA VERDE SOCIAL",467
"GLORIA NAVEILLAN ARRIAGADA",22,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO REPUBLICANO DE CHILE",6257
"GUIDO ANTONIO DIAZ VERGARA",22,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",2160
"GUISELA CAROLINA OLATE SANCHEZ",23,"AW","INDEPENDIENTES UNIDOS","PARTIDO NACIONAL CIUDADANO",1585
"HECTOR CUMILAF HUENTEMIL",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL",2672
"HECTOR SANTOS VILLABLANCA",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",805
"HENRY LEAL BIZAMA",23,"AA","CHILE PODEMOS +","UNION DEMOCRATA INDEPENDIENTE",17973
"HILARIO HUIRILEF BARRA",23,"AH","NUEVO PACTO SOCIAL","PARTIDO POR LA DEMOCRACIA",6625
"INGRID MARITZA CONEJEROS MONTECINO",22,"AN","DIGNIDAD AHORA","INDEPENDIENTE PARTIDO HUMANISTA",1223
"IVAN GORKY ROJAS VILLAGRA",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",1190
"IVONNE MARIA MARTINEZ MOLINAS",22,"AN","DIGNIDAD AHORA","PARTIDO HUMANISTA",904
"JAIME ARAVENA ARAVENA",23,"AH","NUEVO PACTO SOCIAL","INDEPENDIENTE PARTIDO RADICAL DE CHILE",3417
"JORGE ALEJANDRO SAFFIRIO ESPINOZA",22,"AH","NUEVO PACTO SOCIAL","PARTIDO DEMOCRATA CRISTIANO",5913
"JORGE RATHGEB SCHIFFERLI",22,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",20451
"JOSE OLAVE MARTINEZ",23,"AW","INDEPENDIENTES UNIDOS","PARTIDO NACIONAL CIUDADANO",1182
"JUAN CARLOS BELTRAN SILVA",22,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",10729
"KAREN INIDIA CONA HUENCHULAF",23,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO CONSERVADOR CRISTIANO",4747
"KARIN MELLA CANDIA",22,"AA","CHILE PODEMOS +","UNION DEMOCRATA INDEPENDIENTE",5953
"LILIANA MAULEN GONZALEZ",22,"AH","NUEVO PACTO SOCIAL","PARTIDO SOCIALISTA DE CHILE",1507
"LLACOLEN MILLAQUIR PEÑA",23,"AA","CHILE PODEMOS +","INDEPENDIENTE EVOLUCION POLITICA",1898
"LORENA JARA JARA",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",4157
"LUIS ANTONIO LEVI ANINAO",23,"AN","DIGNIDAD AHORA","INDEPENDIENTE PARTIDO HUMANISTA",4155
"LUIS CASADO ZURITA",23,"AW","INDEPENDIENTES UNIDOS","INDEPENDIENTE PARTIDO NACIONAL CIUDADANO",1793
"LUIS CATRILEO GAETE",23,"AR","APRUEBO DIGNIDAD","PARTIDO COMUNISTA DE CHILE",3214
"LUIS FUENTES LOBOS",22,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",2325
"LUZ ELIANA ALCA TURRA",23,"AN","DIGNIDAD AHORA","INDEPENDIENTE IGUALDAD",3124
"MANUEL PAINIQUEO TRAGNOLAO",22,"AH","NUEVO PACTO SOCIAL","PARTIDO POR LA DEMOCRACIA",3136
"MARCELA ALICIA GUTIERREZ MELLA",22,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL",1665
"MARCELO GARCIA SOTO",23,"AH","NUEVO PACTO SOCIAL","PARTIDO DEMOCRATA CRISTIANO",3633
"MARCO LOBOS VASQUEZ",23,"AY","PARTIDO PROGRESISTA DE CHILE","PARTIDO PROGRESISTA DE CHILE",1605
"MARIA CRISTOBALINA DEL CARMEN SEPULVEDA CHACON",22,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",1220
"MARIA SOLEDAD CASTILLO HENRIQUEZ",22,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",1551
"MAURICIO ALEJANDRO LEPIN ANIÑIR",22,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE REVOLUCION DEMOCRATICA",999
"MAURICIO OJEDA REBOLLEDO",23,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO REPUBLICANO DE CHILE",14901
"MIGUEL ANGEL BECKER ALVEAR",23,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",16360
"MIGUEL ANGEL CORTES IBARRA",23,"AN","DIGNIDAD AHORA","INDEPENDIENTE PARTIDO HUMANISTA",2768
"MIGUEL ARTEAGA CARES",23,"AW","INDEPENDIENTES UNIDOS","PARTIDO NACIONAL CIUDADANO",2044
"MIGUEL MELLADO SUAZO",23,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",14164
"MINERVA CASTAÑEDA MELIÑAN",23,"AH","NUEVO PACTO SOCIAL","PARTIDO SOCIALISTA DE CHILE",1872
"MONICA CASTRO CANALES",23,"AL","PARTIDO ECOLOGISTA VERDE","PARTIDO ECOLOGISTA VERDE",2275
"NICOLAS ESTEBAN PINO BARRERA",22,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE PARTIDO COMUNISTA DE CHILE",1630
"NICOLAS RINGLER ARANEDA MORENO",23,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO CONSERVADOR CRISTIANO",1247
"OMAR HUMBERTO ORTIZ CONCHA",23,"AW","INDEPENDIENTES UNIDOS","PARTIDO NACIONAL CIUDADANO",532
"ONESIMA RIQUELME LIENQUEO",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL",1127
"PABLO ALBERTO DIAZ SALAZAR",23,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",4989
"PABLO ANDRES TAPIA PINTO",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE PARTIDO COMUNISTA DE CHILE",1308
"PABLO ASTETE MERMOUD",23,"AA","CHILE PODEMOS +","RENOVACION NACIONAL",10812
"PABLO WALTER HERDENER TRUAN",22,"AA","CHILE PODEMOS +","UNION DEMOCRATA INDEPENDIENTE",3664
"PAOLA MONCADA VENEGAS",23,"AH","NUEVO PACTO SOCIAL","PARTIDO POR LA DEMOCRACIA",4693
"PATRICIO JAVIER PICHUN CASTILLO",22,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO CONSERVADOR CRISTIANO",1126
"PATRICK ALAN CASANOVA TOBAR",22,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO REPUBLICANO DE CHILE",3133
"RENATO HAURI GOMEZ",22,"AH","NUEVO PACTO SOCIAL","PARTIDO DEMOCRATA CRISTIANO",4959
"ROBERTO ANDRES MONCADA HERNANDEZ",23,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",4216
"SEBASTIAN ALVAREZ RAMIREZ",23,"AA","CHILE PODEMOS +","EVOLUCION POLITICA",5117
"SEGUNDO JOSE MILLALEN PAILLAL",22,"AN","DIGNIDAD AHORA","INDEPENDIENTE IGUALDAD",3291
"SILVANA ANDREA CARCAMO JEREZ",22,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",3263
"STEPHAN SCHUBERT RUBIO",23,"AP","FRENTE SOCIAL CRISTIANO","INDEPENDIENTE PARTIDO REPUBLICANO DE CHILE",12788
"TAMARA DEL CARMEN AVENDAÑO LEVINAO",23,"AP","FRENTE SOCIAL CRISTIANO","PARTIDO CONSERVADOR CRISTIANO",1446
"VERONICA ANDREA LOPEZ-VIDELA PINO",23,"AR","APRUEBO DIGNIDAD","INDEPENDIENTE REVOLUCION DEMOCRATICA",5593
"WALESKA MORALES MORALES",23,"AH","NUEVO PACTO SOCIAL","INDEPENDIENTE PARTIDO RADICAL DE CHILE",740
"YOLANDA MARISEL PEDREROS VENEGAS",23,"AB","PARTIDO DE LA GENTE","PARTIDO DE LA GENTE",4513
