C_senatorial,Distrito,Comuna,C_electoral,Local,Mesa,Sexo,R_etario,Nacionalidad,Votantes
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,20-29,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,20-29,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,30-39,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,40-49,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,40-49,ECUADOR,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,50-59,CHILE,32
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,60-69,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,70-79,CHILE,16
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,HOMBRES,80+,CHILE,7
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,18-19,CHILE,7
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,20-29,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,30-39,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,30-39,COLOMBIA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,40-49,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,50-59,CHILE,41
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,60-69,CHILE,41
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,70-79,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,1,MUJERES,80+,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,20-29,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,30-39,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,40-49,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,50-59,CHILE,32
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,60-69,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,70-79,CHILE,16
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,HOMBRES,80+,CHILE,10
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,18-19,CHILE,5
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,20-29,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,30-39,CHILE,20
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,40-49,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,40-49,PERU,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,50-59,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,60-69,CHILE,37
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,70-79,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,10,MUJERES,80+,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,18-19,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,20-29,CHILE,11
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,30-39,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,30-39,ECUADOR,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,40-49,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,50-59,CHILE,40
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,60-69,CHILE,36
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,70-79,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,HOMBRES,80+,CHILE,7
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,20-29,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,20-29,VENEZUELA,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,30-39,CHILE,35
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,30-39,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,40-49,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,50-59,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,60-69,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,70-79,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,11,MUJERES,80+,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,20-29,CHILE,11
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,30-39,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,30-39,COLOMBIA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,40-49,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,40-49,PANAMA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,50-59,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,60-69,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,70-79,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,HOMBRES,80+,CHILE,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,18-19,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,20-29,CHILE,16
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,30-39,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,40-49,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,50-59,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,60-69,CHILE,47
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,70-79,CHILE,40
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,12,MUJERES,80+,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,18-19,CHILE,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,20-29,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,30-39,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,40-49,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,50-59,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,60-69,CHILE,20
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,70-79,CHILE,7
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,HOMBRES,80+,CHILE,5
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,18-19,CHILE,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,20-29,CHILE,13
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,30-39,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,40-49,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,50-59,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,60-69,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,70-79,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,13,MUJERES,80+,CHILE,11
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,18-19,CHILE,5
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,20-29,CHILE,12
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,30-39,CHILE,13
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,30-39,REPUBLICA POPULAR CHINA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,40-49,CHILE,18
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,50-59,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,60-69,CHILE,20
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,70-79,CHILE,11
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,HOMBRES,80+,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,20-29,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,30-39,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,40-49,CHILE,13
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,50-59,CHILE,34
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,14,MUJERES,60-69,CHILE,21
