NOM;REG;COD_PRO;COD_COM;NOM_COM;RURAL;LATITUD;LONGITUD
INSTITUTO SUPERIOR DE COMERCIO;9;91;9101;TEMUCO;0;-38,730949;-72,588226
LICEO INDUSTRIAL A-27 TEMUCO;9;91;9101;TEMUCO;0;-38,742962;-72,616272
LICEO BICENTENARIO TECNOLOGICO PEDRO AGUIRRE CERDA;9;91;9101;TEMUCO;0;-38,731899;-72,594223
INSTITUTO SUPERIOR DE ESPECIALIDADES TECNICAS DE TEMUCO;9;91;9101;TEMUCO;0;-38,732941;-72,5924
LICEO GABRIELA MISTRAL DE TEMUCO;9;91;9101;TEMUCO;0;-38,740349;-72,593307
LICEO PABLO NERUDA;9;91;9101;TEMUCO;0;-38,734539;-72,591141
LICEO ANIBAL PINTO;9;91;9101;TEMUCO;0;-38,72306824;-72,57427216
ESCUELA ARTURO PRAT;9;91;9101;TEMUCO;0;-38,740559;-72,586662
ESCUELA CAUPOLICAN;9;91;9101;TEMUCO;0;-38,74035052;-72,60261366
ESCUELA LLAIMA;9;91;9101;TEMUCO;0;-38,735229;-72,621201
ESCUELA MANUEL RODRIGUEZ;9;91;9101;TEMUCO;0;-38,72370038;-72,57410521
ESCUELA CAMPOS DEPORTIVOS;9;91;9101;TEMUCO;0;-38,728359;-72,617416
ESCUELA LAS QUILAS;9;91;9101;TEMUCO;0; ; 
ESCUELA STANDAR;9;91;9101;TEMUCO;0;-38,732639;-72,580559
ESCUELA SANTA ROSA;9;91;9101;TEMUCO;0;-38,734558;-72,570824
ESCUELA JOSE MIGUEL CARRERA;9;91;9101;TEMUCO;0;-38,73163748;-72,56221211
ESCUELA VILLA ALEGRE;9;91;9101;TEMUCO;0;-38,72308;-72,616348
ESCUELA PORVENIR;9;91;9101;TEMUCO;0; ; 
ESCUELA URUGUAY;9;91;9101;TEMUCO;0; ; 
ESCUELA MANUEL RECABARREN;9;91;9101;TEMUCO;0;-38,758968;-72,626183
ESCUELA MILLARAY;9;91;9101;TEMUCO;0;-38,73774;-72,623199
COMPLEJO EDUC. UN AMANECER EN LA ARAUCANIA;9;91;9101;TEMUCO;0;-38,75592;-72,622307
ESCUELA EVARISTO MARIN;9;91;9101;TEMUCO;0; ; 
ESCUELA ANDRES BELLO;9;91;9101;TEMUCO;0;-38,743481;-72,602547
ESCUELA BASICA MARCELA PAZ;9;91;9101;TEMUCO;0;-38,71938249;-72,6102573
ESCUELA SAN ANTONIO;9;91;9101;TEMUCO;0; ; 
COLEGIO MUNDO MAGICO;9;91;9101;TEMUCO;0;-38,743408;-72,616371
COLEGIO ALONSO DE ERCILLA;9;91;9101;TEMUCO;0;-38,720341;-72,563568
ESCUELA ESPECIAL NIELOL;9;91;9101;TEMUCO;0;-38,73129654;-72,59366608
ESCUELA DE ADULTOS MANUEL ROJAS;9;91;9101;TEMUCO;0;-38,73265076;-72,59267426
ESCUELA MUNICIPAL EL TRENCITO;9;91;9101;TEMUCO;0;-38,741581;-72,582611
ESCUELA VILLA ITALIA;9;91;9101;TEMUCO;0; ; 
JARDIN INFANTIL MONTE VERDE;9;91;9101;TEMUCO;0;-38,73328018;-72,62176514
ESCUELA PEDRO DE VALDIVIA;9;91;9101;TEMUCO;0;-38,72702;-72,612244
ESCUELA TURINGIA;9;91;9101;TEMUCO;0;-38,72547694;-72,56040288
ESCUELA VILLA CAROLINA;9;91;9101;TEMUCO;0;-38,71867;-72,621582
ESCUELA JAVIERA CARRERA;9;91;9101;TEMUCO;0; ; 
ESCUELA LOS AVELLANOS;9;91;9101;TEMUCO;0;-38,749889;-72,608612
ESCUELA LOS TRIGALES;9;91;9101;TEMUCO;0;-38,7342;-72,630127
ESCUELA LABRANZA;9;91;9101;TEMUCO;0;-38,764599;-72,753143
ESCUELA DE PARVULOS CAMPANITA;9;91;9101;TEMUCO;0;-38,71751404;-72,56220245
ESCUELA DE PARVULOS SEMILLITA;9;91;9101;TEMUCO;0;-38,72574997;-72,60612488
LICEO POLIVALENTE DE ADULTOS SELVA SAAVEDRA;9;91;9101;TEMUCO;0;-38,74517822;-72,60967255
ESCUELA REDUCCION RALUNCOLLAN;9;91;9101;TEMUCO;1;-38,69957;-72,636871
ESCUELA MANIO CHICO;9;91;9101;TEMUCO;1;-38,685341;-72,68087
ESCUELA REDUCCION MONTE VERDE;9;91;9101;TEMUCO;1;-38,69175;-72,588013
ESCUELA CONOCO CHICO;9;91;9101;TEMUCO;1;-38,619202;-72,738274
ESCUELA BOTROLHUE;9;91;9101;TEMUCO;1;-38,762859;-72,690163
ESCUELA TROMEN BAJO;9;91;9101;TEMUCO;1;-38,689529;-72,765671
ESCUELA LIRCAY;9;91;9101;TEMUCO;1;-38,719101;-72,646309
ESCUELA MOLLULCO;9;91;9101;TEMUCO;1;-38,709251;-72,752937
ESCUELA TROMEN ALTO;9;91;9101;TEMUCO;1;-38,686932;-72,730827
ESCUELA BOYECO;9;91;9101;TEMUCO;1;-38,659691;-72,712601
ESCUELA COLLIMALLIN;9;91;9101;TEMUCO;1;-38,605381;-72,695847
COLEGIO PROVIDENCIA DE TEMUCO;9;91;9101;TEMUCO;0;-38,730999;-72,583076
LICEO CARLOS CONDELL DE LA HAZA;9;91;9101;TEMUCO;0;-38,72884;-72,609444
INSTITUTO CLARET;9;91;9101;TEMUCO;0;-38,73914;-72,583366
LICEO COMERCIAL TEMUCO BICENTENARIO DE EXCELENCIA;9;91;9101;TEMUCO;0;-38,737541;-72,582657
LICEO POLITECNICO PUEBLO NUEVO;9;91;9101;TEMUCO;0;-38,718479;-72,564758
COMPLEJO EDUCACIONAL JAVIERA CARRERA;9;91;9101;TEMUCO;0;-38,740028;-72,596687
ESCUELA Y LICEO MONTESSORI;9;91;9101;TEMUCO;0;-38,739262;-72,593788
LICEO ADVENTISTA DE TEMUCO;9;91;9101;TEMUCO;0;-38,71603;-72,652992
LICEO ESPANA DE TEMUCO;9;91;9101;TEMUCO;0;-38,739761;-72,59375
COLEGIO AUGUSTO WINTER;9;91;9101;TEMUCO;0;-38,712978;-72,558983
COL.PART.ESP.DE DEF. AUDIT.ANGLICANO;9;91;9101;TEMUCO;0; ; 
LICEO CAMILO HENRIQUEZ DE TEMUCO;9;91;9101;TEMUCO;0;-38,7327;-72,621933
ESCUELA BASICA VISTA VERDE;9;91;9101;TEMUCO;0;-38,756001;-72,642082
COLEGIO MADRE ADMIRABLE DE SCHOENSTATT;9;91;9101;TEMUCO;0;-38,73103;-72,575058
COLEGIO SAN FRANCISCO;9;91;9101;TEMUCO;0;-38,73674;-72,600113
ESCUELA PARTICULAR ARTURO ARRIAGADA;9;91;9101;TEMUCO;0;-38,75317;-72,625679
ESC. ESP.RETARDO MENTAL LAS ARAUCARIAS;9;91;9101;TEMUCO;0;-38,73881;-72,60752
ESC.PART.SAN FRANCISCO DE ASIS DE TEMUCO;9;91;9101;TEMUCO;0;-38,74144;-72,611763
COLEGIO JUAN BOSCO;9;91;9101;TEMUCO;0; ; 
ESCUELA PARTICULAR FRANCIA;9;91;9101;TEMUCO;0;-38,741982;-72,588463
ESCUELA PART. WENCESLAO VALDIVIA;9;91;9101;TEMUCO;0;-38,744099;-72,578506
ESCUELA PARTICULAR EL ROBLE;9;91;9101;TEMUCO;0;-38,73058;-72,62619
ESCUELA PARTICULAR LA ESPIGA;9;91;9101;TEMUCO;0;-38,687511;-72,677834
ESCUELA PARTICULAR ESTRELLA DE BELEN;9;91;9101;TEMUCO;0;-38,744301;-72,582603
ESCUELA PARTICULAR ALIANZA;9;91;9101;TEMUCO;0;-38,730701;-72,56707
ESCUELA PARTICULAR LAS AMERICAS;9;91;9101;TEMUCO;0;-38,717869;-72,620369
ESCUELA PARTICULAR ARAUCANIA;9;91;9101;TEMUCO;0;-38,737629;-72,575394
ESCUELA PARTICULAR LOS REYES;9;91;9101;TEMUCO;0;-38,75683763;-72,61692775
ESCUELA PARTICULAR VILLA IRMA;9;91;9101;TEMUCO;0;-38,75771546;-72,63134496
LICEO BICENTENARIO DE EXCELENCIA TECNICO PROFESIONAL CENTENARIO;9;91;9101;TEMUCO;0;-38,739819;-72,572968
ESCUELA PARTICULAR SAN JUAN;9;91;9101;TEMUCO;0;-38,732262;-72,563698
ESCUELA PARTICULAR LOS TRIGALES;9;91;9101;TEMUCO;0;-38,735222;-72,614487
LICEO PARTICULAR NAZARETH;9;91;9101;TEMUCO;0;-38,72101339;-72,61062706
COLEGIO PARTICULAR I. CULTURA BRITANICA;9;91;9101;TEMUCO;0;-38,737179;-72,584747
ESCUELA PART.SANTA MARIA DE LA RIBERA;9;91;9101;TEMUCO;0;-38,724659;-72,558311
ESCUELA PARTICULAR CLAUDIO MATTE;9;91;9101;TEMUCO;0;-38,724751;-72,628418
ESCUELA PARTICULAR DE PARVULOS;9;91;9101;TEMUCO;0; ; 
ESCUELA PARTICULAR ARAUCANIA;9;91;9101;TEMUCO;0;-38,76572;-72,754143
ESCUELA PARTICULAR PAPELUCHO;9;91;9101;TEMUCO;0;-38,726398;-72,564919
ESCUELA PARTICULAR VILLA AISEN;9;91;9101;TEMUCO;0; ; 
COLEGIO MANUEL MONTT;9;91;9101;TEMUCO;0;-38,739899;-72,579399
LICEO TÉCNICO FEMENINO SANTA CRUZ ÑIELOL;9;91;9101;TEMUCO;0;-38,70924;-72,570374
ESCUELA PARTICULAR CATRIMALAL;9;91;9101;TEMUCO;1; ; 
ESCUELA PARTICULAR BOTRONHUE;9;91;9101;TEMUCO;1;-38,730202;-72,793373
ESCUELA PART. LOS COPIHUES;9;91;9101;TEMUCO;1;-38,63757009;-72,74810591
ESCUELA PARTICULAR SAN SILVESTRE;9;91;9101;TEMUCO;1;-38,58453539;-72,74915373
ESCUELA PARTICULAR MILLANTU;9;91;9101;TEMUCO;1;-38,768639;-72,680923
ESCUELA PARTICULAR MONO PAINE;9;91;9101;TEMUCO;0;-38,716579;-72,620422
ESCUELA SAN ANTONIO DE NIENOCO;9;91;9101;TEMUCO;1;-38,60685;-72,714233
ESCUELA PARTICULAR RENGALIL;9;91;9101;TEMUCO;1;-38,76453;-72,786003
ESCUELA PARTICULAR BOYECO;9;91;9101;TEMUCO;1;-38,658779;-72,665787
ESCUELA PARTICULAR DIEGO PORTALES;9;91;9101;TEMUCO;1;-38,628239;-72,683167
ESCUELA PARTICULAR KIMELTU DE PANCO;9;91;9101;TEMUCO;1;-38,64114;-72,661499
ESCUELA PARTICULAR LUIS CRUZ MARTINEZ;9;91;9101;TEMUCO;1;-38,677681;-72,700493
ESCUELA PARTICULAR SIGLO XXI;9;91;9101;TEMUCO;0;-38,734341;-72,600929
ESCUELA PARTICULAR SAN JOSE;9;91;9101;TEMUCO;1;-38,74054;-72,771317
ESCUELA PARTICULAR SAN MATEO;9;91;9101;TEMUCO;1;-38,578819;-72,714394
ESCUELA PARTICULAR EL CRUCERO;9;91;9101;TEMUCO;1;-38,71616;-72,707207
ESCUELA PARTICULAR EL ALBA;9;91;9101;TEMUCO;1;-38,68646292;-72,7629673
ESCUELA PARTICULAR DOCTOR MUHAJIR;9;91;9101;TEMUCO;1;-38,730129;-72,759247
ESCUELA BASICA PARTICULAR CINCO LAUREL;9;91;9101;TEMUCO;1;-38,69854398;-72,7111176
COLEGIO DE LA SALLE;9;91;9101;TEMUCO;0;-38,740081;-72,58734
COLEGIO BAUTISTA;9;91;9101;TEMUCO;0;-38,739686;-72,60143
COLEGIO ALEMAN;9;91;9101;TEMUCO;0;-38,736841;-72,61499
COLEGIO CENTENARIO;9;91;9101;TEMUCO;0;-38,74194;-72,609978
COLEGIO SANTA CRUZ;9;91;9101;TEMUCO;0;-38,74004;-72,571358
CARACOLITO;9;91;9101;TEMUCO;0; ; 
COLEGIO METODISTA;9;91;9101;TEMUCO;0;-38,739601;-72,588287
COL.INGLES GEORGE CHAYTOR(RES139-02-08);9;91;9101;TEMUCO;0; ; 
MICKEY - MOUSE;9;91;9101;TEMUCO;0; ; 
ESCUELA NUEVO SIGLO;9;91;9101;TEMUCO;0; ; 
ESCUELA PARTICULAR VANGUARDIA;9;91;9101;TEMUCO;0; ; 
ESCUELA LLOLLETUE;9;91;9101;TEMUCO;1;-38,705101;-72,694672
COLEGIO LATINOAMERICANO;9;91;9101;TEMUCO;0;-38,735371;-72,56366
CENTRO DE EDUCACIÓN DE ADULTOS LA HAYA;9;91;9101;TEMUCO;0;-38,755547;-72,616429
ESCUELA EPU NEWEN;9;91;9101;TEMUCO;0;-38,685699;-72,654701
ESCUELA ESPECIAL DE DISCAPACIDAD INTELECTUAL CORAZON DE JESUS;9;91;9101;TEMUCO;0;-38,72063;-72,6128
LICEO PARTICULAR MISEND;9;91;9101;TEMUCO;0; ; 
ESCUELA ESPECIAL CLARET;9;91;9101;TEMUCO;0;-38,73875;-72,58262
GREEN HOUSE SCHOOL;9;91;9101;TEMUCO;0;-38,74084;-72,63524
ESCUELA NRO 15 AMI;9;91;9101;TEMUCO;0;-38,744492;-72,581398
ESCUELA ESPECIAL RETARDO MENTAL;9;91;9101;TEMUCO;0;-38,747215;-72,60787
CENTRO ABIERTO AMANECER (CERRADA 97);9;91;9101;TEMUCO;0; ; 
