Comuna,Nombre,Votacion,Perc
ANGOL,LUIS ALBERTO PENCHULEO MORALES,3201,0.42
CARAHUE,LUIS ALBERTO PENCHULEO MORALES,1586,0.21
CHOLCHOL,LUIS ALBERTO PENCHULEO MORALES,1348,0.18
COLLIPULLI,LUIS ALBERTO PENCHULEO MORALES,2133,0.27999999999999997
CUNCO,LUIS ALBERTO PENCHULEO MORALES,1441,0.19
CURACAUTIN,LUIS ALBERTO PENCHULEO MORALES,1209,0.16
CURARREHUE,LUIS ALBERTO PENCHULEO MORALES,867,0.11
ERCILLA,LUIS ALBERTO PENCHULEO MORALES,1139,0.15
FREIRE,LUIS ALBERTO PENCHULEO MORALES,2144,0.27999999999999997
GALVARINO,LUIS ALBERTO PENCHULEO MORALES,2149,0.27999999999999997
GORBEA,LUIS ALBERTO PENCHULEO MORALES,841,0.11
LAUTARO,LUIS ALBERTO PENCHULEO MORALES,4382,0.5700000000000001
LONCOCHE,LUIS ALBERTO PENCHULEO MORALES,1895,0.25
LONQUIMAY,LUIS ALBERTO PENCHULEO MORALES,1607,0.21
LOS SAUCES,LUIS ALBERTO PENCHULEO MORALES,560,0.06999999999999999
LUMACO,LUIS ALBERTO PENCHULEO MORALES,965,0.13
MELIPEUCO,LUIS ALBERTO PENCHULEO MORALES,631,0.08
NUEVA IMPERIAL,LUIS ALBERTO PENCHULEO MORALES,2915,0.38
PADRE LAS CASAS,LUIS ALBERTO PENCHULEO MORALES,5007,0.66
PERQUENCO,LUIS ALBERTO PENCHULEO MORALES,1161,0.15
PITRUFQUEN,LUIS ALBERTO PENCHULEO MORALES,1481,0.19
PUCON,LUIS ALBERTO PENCHULEO MORALES,2825,0.37
PUREN,LUIS ALBERTO PENCHULEO MORALES,1218,0.16
RENAICO,LUIS ALBERTO PENCHULEO MORALES,883,0.12
SAAVEDRA,LUIS ALBERTO PENCHULEO MORALES,2123,0.27999999999999997
TEMUCO,LUIS ALBERTO PENCHULEO MORALES,11813,1.55
TEODORO SCHMIDT,LUIS ALBERTO PENCHULEO MORALES,1134,0.15
TOLTEN,LUIS ALBERTO PENCHULEO MORALES,676,0.09
TRAIGUEN,LUIS ALBERTO PENCHULEO MORALES,2100,0.27
VICTORIA,LUIS ALBERTO PENCHULEO MORALES,2154,0.27999999999999997
VILCUN,LUIS ALBERTO PENCHULEO MORALES,2098,0.27
VILLARRICA,LUIS ALBERTO PENCHULEO MORALES,5146,0.67
