Comuna,elecc,Voto,Insc,Participacion
ANGOL,5,40757,47121,86.49
CARAHUE,5,19824,24101,82.25
CHOLCHOL,5,10823,12395,87.32
COLLIPULLI,5,19155,22126,86.57
CUNCO,5,15675,20645,75.93
CURACAUTIN,5,14696,20958,70.12
CURARREHUE,5,6945,9018,77.01
ERCILLA,5,6752,8015,84.24
FREIRE,5,20384,23592,86.4
GALVARINO,5,10511,12203,86.13
GORBEA,5,12506,15445,80.97
LAUTARO,5,31531,36313,86.83
LONCOCHE,5,19664,24118,81.53
LONQUIMAY,5,8777,12095,72.57
LOS SAUCES,5,6520,7386,88.28
LUMACO,5,7506,8744,85.84
MELIPEUCO,5,5970,8117,73.55
NUEVA IMPERIAL,5,27003,31592,85.47
PADRE LAS CASAS,5,56071,63399,88.44
PERQUENCO,5,6361,7101,89.58
PITRUFQUEN,5,20695,24583,84.18
PUCON,5,25704,33733,76.2
PUREN,5,10129,11949,84.77
RENAICO,5,8810,9998,88.12
SAAVEDRA,5,10583,13185,80.27
TEMUCO,5,204772,245354,83.46
TEODORO SCHMIDT,5,12711,14638,86.84
TOLTEN,5,8371,10426,80.29
TRAIGUEN,5,15044,17824,84.4
VICTORIA,5,26996,32139,84
VILCUN,5,22302,26107,85.43
VILLARRICA,5,50260,62660,80.21
ANGOL,4,40620,46964,86.49
CARAHUE,4,19515,24052,81.14
CHOLCHOL,4,9961,11731,84.91
COLLIPULLI,4,18962,22078,85.89
CUNCO,4,15259,20394,74.82
CURACAUTIN,4,14450,20856,69.28
CURARREHUE,4,6464,8858,72.97
ERCILLA,4,6284,7763,80.95
FREIRE,4,19997,23403,85.45
GALVARINO,4,10103,11945,84.58
GORBEA,4,12331,15309,80.55
LAUTARO,4,30608,35806,85.48
LONCOCHE,4,19249,23860,80.67
LONQUIMAY,4,8384,11947,70.18
LOS SAUCES,4,6131,7112,86.21
LUMACO,4,7346,8686,84.57
MELIPEUCO,4,5429,7811,69.5
NUEVA IMPERIAL,4,26453,31269,84.6
PADRE LAS CASAS,4,55047,62650,87.86
PERQUENCO,4,5982,6859,87.21
PITRUFQUEN,4,20156,24185,83.34
PUCON,4,24960,32564,76.65
PUREN,4,9950,11861,83.89
RENAICO,4,8516,9791,86.98
SAAVEDRA,4,10081,12949,77.85
TEMUCO,4,204555,244392,83.7
TEODORO SCHMIDT,4,12203,14295,85.37
TOLTEN,4,8174,10337,79.08
TRAIGUEN,4,14968,17860,83.81
VICTORIA,4,26692,32072,83.23
VILCUN,4,21660,25770,84.05
VILLARRICA,4,49635,61793,80.32
ANGOL,3,40533,46818,86.58
CARAHUE,3,19744,24480,80.65
CHOLCHOL,3,9719,11348,85.65
COLLIPULLI,3,18926,22197,85.26
CUNCO,3,15090,20424,73.88
CURACAUTIN,3,14532,21469,67.69
CURARREHUE,3,6542,8678,75.39
ERCILLA,3,6467,7871,82.16
FREIRE,3,19876,23225,85.58
GALVARINO,3,10109,12017,84.12
GORBEA,3,12383,15621,79.27
LAUTARO,3,29955,35188,85.13
LONCOCHE,3,19141,23751,80.59
LONQUIMAY,3,8516,12116,70.29
LOS SAUCES,3,6163,7252,84.98
LUMACO,3,7591,9002,84.33
MELIPEUCO,3,5430,7776,69.83
NUEVA IMPERIAL,3,26242,31334,83.75
PADRE LAS CASAS,3,53999,60683,88.99
PERQUENCO,3,5938,6859,86.57
PITRUFQUEN,3,19613,23895,82.08
PUCON,3,24545,31564,77.76
PUREN,3,10124,12015,84.26
RENAICO,3,8469,9737,86.98
SAAVEDRA,3,10298,13177,78.15
TEMUCO,3,204684,242858,84.28
TEODORO SCHMIDT,3,12249,14119,86.76
TOLTEN,3,8173,10501,77.83
